"destination_id","name","cost","type","lat","lng"
"D008","Churchill Scenic Lookout","35","scenic","58.777","-94.156"
"D009","Cape Ridge Trail","10","hiking","46.703","-60.625"
"D009","Cape Summit Walk","20","hiking","46.713","-60.616"
"D009","Cape Forest Loop","30","hiking","46.723","-60.607"
"D009","Cape Scenic Lookout","40","scenic","46.733","-60.598"
"D010","Montreal Market Hall","0","food","45.488","-73.606"
"D010","Montreal Tasting Plaza","10","food","45.498","-73.597"
"D010","Montreal Culinary Studio","20","food","45.508","-73.588"
"D010","Montreal Cultural Centre","30","cultural","45.518","-73.579"
"D011","Jasper Scenic Lookout","5","scenic","52.853","-117.972"
"D011","Jasper Nature Trail","15","nature","52.863","-117.963"
"D011","Jasper Valley Viewpoint","25","scenic","52.873","-117.954"
"D011","Jasper Photo Point","35","scenic","52.883","-117.945"
"D012","Tofino Beachfront Boardwalk","10","beach","49.133","-125.926"
"D012","Tofino Coastal Access Point","20","beach","49.143","-125.917"
"D012","Tofino Sunset Shore","30","beach","49.153","-125.908"
"D012","Tofino Adventure Course","40","adventure","49.163","-125.899"
"D013","Toronto City Square","0","urban","43.618","-79.4"
"D013","Toronto Waterfront Promenade","10","urban","43.628","-79.391"
"D013","Toronto Downtown Hub","20","shopping","43.638","-79.382"
"D013","Toronto Cultural Centre","30","cultural","43.648","-79.373"
"D014","Icefields Scenic Lookout","5","scenic","52.197","-117.224"
"D014","Icefields Nature Trail","15","nature","52.207","-117.215"
"D014","Icefields Valley Viewpoint","25","scenic","52.217","-117.206"
"D014","Icefields Photo Point","35","scenic","52.227","-117.197"
"D015","Fundy Scenic Lookout","10","scenic","45.57","-64.998"
"D015","Fundy Nature Trail","20","nature","45.58","-64.989"
"D015","Fundy Valley Viewpoint","30","scenic","45.59","-64.98"
"D015","Fundy Ridge Trail","40","hiking","45.6","-64.971"
"D016","Kelowna Market Hall","0","food","49.868","-119.514"
"D016","Kelowna Tasting Plaza","10","food","49.878","-119.505"
"D016","Kelowna Culinary Studio","20","food","49.888","-119.496"
"D016","Kelowna Cultural Centre","30","cultural","49.898","-119.487"
"D017","Ottawa Historic Quarter","5","historic","45.404","-75.718"
"D017","Ottawa Heritage Museum","15","museum","45.414","-75.709"
"D017","Ottawa Founders Walk","25","historic","45.424","-75.7"
"D017","Ottawa Cultural Centre","35","cultural","45.434","-75.691"
"D018","Yukon Scenic Lookout","10","scenic","60.701","-135.075"
"D018","Yukon Nature Trail","20","nature","60.711","-135.066"
"D018","Yukon Valley Viewpoint","30","scenic","60.721","-135.057"
"D018","Yukon Photo Point","40","scenic","60.731","-135.048"
"D019","Gros Ridge Trail","0","hiking","49.577","-57.797"
"D019","Gros Summit Walk","10","hiking","49.587","-57.788"
"D019","Gros Forest Loop","20","hiking","49.597","-57.779"
"D019","Gros Scenic Lookout","30","scenic","49.607","-57.77"
"D020","Calgary Cultural Centre","5","cultural","51.024","-114.08"
"D020","Calgary Arts Pavilion","15","cultural","51.034","-114.071"
"D020","Calgary Heritage Gallery","25","museum","51.044","-114.062"
"D020","Calgary Market Hall","35","food","51.054","-114.053"
"D021","Bay Scenic Lookout","10","scenic","45.234","-64.532"
"D021","Bay Nature Trail","20","nature","45.244","-64.523"
"D021","Bay Valley Viewpoint","30","scenic","45.254","-64.514"
"D021","Bay Wildlife Sanctuary","40","wildlife","45.264","-64.505"
"D022","Lake Scenic Lookout","0","scenic","51.405","-116.195"
"D022","Lake Nature Trail","10","nature","51.415","-116.186"
"D022","Lake Valley Viewpoint","20","scenic","51.425","-116.177"
"D022","Lake Ridge Trail","30","hiking","51.435","-116.168"
"D023","Signal Historic Quarter","5","historic","47.552","-52.699"
"D023","Signal Heritage Museum","15","museum","47.562","-52.69"
"D023","Signal Founders Walk","25","historic","47.572","-52.681"
"D023","Signal Photo Point","35","scenic","47.582","-52.672"
"D024","Whitehorse Scenic Lookout","10","scenic","60.701","-135.074"
"D024","Whitehorse Nature Trail","20","nature","60.711","-135.065"
"D024","Whitehorse Valley Viewpoint","30","scenic","60.721","-135.056"
"D024","Whitehorse Adventure Course","40","adventure","60.731","-135.047"
"D025","Saskatoon Scenic Lookout","0","scenic","52.113","-106.688"
"D025","Saskatoon Nature Trail","10","nature","52.123","-106.679"
"D025","Saskatoon Valley Viewpoint","20","scenic","52.133","-106.67"
"D025","Saskatoon Ridge Trail","30","hiking","52.143","-106.661"
"D026","Magdalen Beachfront Boardwalk","5","beach","47.363","-61.884"
"D026","Magdalen Coastal Access Point","15","beach","47.373","-61.875"
"D026","Magdalen Sunset Shore","25","beach","47.383","-61.866"
"D026","Magdalen Scenic Lookout","35","scenic","47.393","-61.857"
"D027","Bruce Scenic Lookout","10","scenic","45.209","-81.543"
"D027","Bruce Nature Trail","20","nature","45.219","-81.534"
"D027","Bruce Valley Viewpoint","30","scenic","45.229","-81.525"
"D027","Bruce Ridge Trail","40","hiking","45.239","-81.516"
"D028","Mont Alpine Run","0","skiing","46.19","-74.602"
"D028","Mont Snow Adventure Zone","10","skiing","46.2","-74.593"
"D028","Mont Peak Lift Experience","20","skiing","46.21","-74.584"
"D028","Mont Scenic Lookout","30","scenic","46.22","-74.575"
"D029","Prince Scenic Lookout","5","scenic","53.551","-106.483"
"D029","Prince Nature Trail","15","nature","53.561","-106.474"
"D029","Prince Valley Viewpoint","25","scenic","53.571","-106.465"
"D029","Prince Wildlife Sanctuary","35","wildlife","53.581","-106.456"
"D031","Ontario Photo Point","10","scenic","55.129","-137.817"
"D031","Ontario Sunrise Deck","20","scenic","55.139","-137.808"
"D031","Ontario Panorama Platform","30","photography","55.149","-137.799"
"D031","Ontario Wildlife Sanctuary","40","wildlife","55.159","-137.79"
"D032","Ontario Ridge Trail","0","hiking","54.199","-137.221"
"D032","Ontario Summit Walk","10","hiking","54.209","-137.212"
"D032","Ontario Forest Loop","20","hiking","54.219","-137.203"
"D032","Ontario Wildlife Sanctuary","30","wildlife","54.229","-137.194"
"D033","Ontario Market Hall","5","food","56.589","-78.296"
"D033","Ontario Tasting Plaza","15","food","56.599","-78.288"
"D033","Ontario Culinary Studio","25","food","56.609","-78.279"
"D034","Ontario Market Hall","10","food","57.402","-125.964"
"D034","Ontario Tasting Plaza","20","food","57.412","-125.954"
"D034","Ontario Culinary Studio","30","food","57.422","-125.946"
"D035","British Adventure Course","0","adventure","44.927","-106.58"
"D035","British Guided Excursion Hub","10","tour","44.937","-106.57"
"D035","British Explorer Basecamp","20","adventure","44.947","-106.562"
"D036","British Market Hall","5","food","53.173","-54.38"
"D036","British Tasting Plaza","15","food","53.183","-54.37"
"D036","British Culinary Studio","25","food","53.193","-54.362"
"D037","British Scenic Lookout","10","scenic","53.955","-78.012"
"D037","British Nature Trail","20","nature","53.965","-78.002"
"D037","British Valley Viewpoint","30","scenic","53.975","-77.994"
"D038","British Adventure Course","0","adventure","50.207","-100.113"
"D038","British Guided Excursion Hub","10","tour","50.217","-100.104"
"D038","British Explorer Basecamp","20","adventure","50.227","-100.096"
"D039","Quebec Family Fun Park","5","family","54.558","-124.953"
"D039","Quebec Discovery Centre","15","family","54.568","-124.944"
"D039","Quebec Interactive Zone","25","family","54.578","-124.936"
"D040","Quebec Beachfront Boardwalk","10","beach","55.993","-65.842"
"D040","Quebec Coastal Access Point","20","beach","56.003","-65.833"
"D040","Quebec Sunset Shore","30","beach","56.013","-65.824"
"D041","Quebec Historic Quarter","0","historic","44.243","-59.658"
"D041","Quebec Heritage Museum","10","museum","44.253","-59.648"
"D041","Quebec Founders Walk","20","historic","44.263","-59.64"
"D042","Quebec Family Fun Park","5","family","45.7","-127.726"
"D042","Quebec Discovery Centre","15","family","45.71","-127.717"
"D042","Quebec Interactive Zone","25","family","45.72","-127.708"
"D043","Alberta Alpine Run","10","skiing","49.863","-52.248"
"D043","Alberta Snow Adventure Zone","20","skiing","49.873","-52.24"
"D043","Alberta Peak Lift Experience","30","skiing","49.883","-52.23"
"D044","Alberta City Square","0","urban","45.889","-125.935"
"D044","Alberta Waterfront Promenade","10","urban","45.899","-125.926"
"D044","Alberta Downtown Hub","20","shopping","45.909","-125.918"
"D045","Alberta Scenic Lookout","5","scenic","53.038","-54.558"
"D045","Alberta Nature Trail","15","nature","53.048","-54.55"
"D045","Alberta Valley Viewpoint","25","scenic","53.058","-54.54"
"D046","Alberta Night Market","10","nightlife","45.104","-101.754"
"D046","Alberta Live Music Venue","20","nightlife","45.114","-101.746"
"D046","Alberta Evening Lights Walk","30","nightlife","45.124","-101.736"
"D047","Nova City Square","0","urban","59.525","-113.75"
"D047","Nova Waterfront Promenade","10","urban","59.535","-113.741"
"D047","Nova Downtown Hub","20","shopping","59.545","-113.732"
"D048","Nova Cultural Centre","5","cultural","53.233","-71.494"
"D048","Nova Arts Pavilion","15","cultural","53.243","-71.485"
"D048","Nova Heritage Gallery","25","museum","53.253","-71.476"
"D049","Nova Photo Point","10","scenic","59.681","-66.826"
"D049","Nova Sunrise Deck","20","scenic","59.691","-66.818"
"D049","Nova Panorama Platform","30","photography","59.701","-66.809"
"D050","Nova Ridge Trail","0","hiking","44.612","-97.246"
"D050","Nova Summit Walk","10","hiking","44.622","-97.238"
"D050","Nova Forest Loop","20","hiking","44.632","-97.229"
"D051","Manitoba Market Hall","5","food","48.021","-63.24"
"D051","Manitoba Tasting Plaza","15","food","48.031","-63.23"
"D051","Manitoba Culinary Studio","25","food","48.041","-63.222"
"D052","Manitoba Ridge Trail","10","hiking","51.309","-94.466"
"D052","Manitoba Summit Walk","20","hiking","51.319","-94.458"
"D052","Manitoba Forest Loop","30","hiking","51.329","-94.449"
"D053","Manitoba Family Fun Park","0","family","54.165","-139.38"
"D053","Manitoba Discovery Centre","10","family","54.175","-139.372"
"D053","Manitoba Interactive Zone","20","family","54.185","-139.362"
"D054","Manitoba City Square","5","urban","44.331","-119.069"
"D054","Manitoba Waterfront Promenade","15","urban","44.341","-119.06"
"D054","Manitoba Downtown Hub","25","shopping","44.351","-119.052"
"D055","New Market Hall","10","food","47.602","-98.392"
"D055","New Tasting Plaza","20","food","47.612","-98.382"
"D055","New Culinary Studio","30","food","47.622","-98.374"
"D056","New Scenic Lookout","0","scenic","50.796","-63.996"
"D056","New Nature Trail","10","nature","50.806","-63.986"
"D056","New Valley Viewpoint","20","scenic","50.816","-63.978"
"D057","New Wildlife Sanctuary","5","wildlife","58.196","-130.397"
"D057","New Animal Viewing Point","15","wildlife","58.206","-130.388"
"D057","New Eco Discovery Walk","25","nature","58.216","-130.379"
"D058","New Ridge Trail","10","hiking","51.775","-63.058"
"D058","New Summit Walk","20","hiking","51.785","-63.05"
"D058","New Forest Loop","30","hiking","51.795","-63.04"
"D059","Prince Wildlife Sanctuary","0","wildlife","61.396","-58.494"
"D059","Prince Animal Viewing Point","10","wildlife","61.406","-58.484"
"D059","Prince Eco Discovery Walk","20","nature","61.416","-58.476"
"D060","Prince Scenic Lookout","5","scenic","60.131","-125.526"
"D060","Prince Nature Trail","15","nature","60.141","-125.516"
"D060","Prince Valley Viewpoint","25","scenic","60.151","-125.508"
"D061","Prince Scenic Lookout","10","scenic","45.926","-113.904"
"D061","Prince Nature Trail","20","nature","45.936","-113.894"
"D061","Prince Valley Viewpoint","30","scenic","45.946","-113.886"
"D062","Prince Cultural Centre","0","cultural","54.084","-95.762"
"D062","Prince Arts Pavilion","10","cultural","54.094","-95.753"
"D062","Prince Heritage Gallery","20","museum","54.104","-95.744"
"D063","Saskatchewan Wildlife Sanctuary","5","wildlife","54.291","-80.594"
"D063","Saskatchewan Animal Viewing Point","15","wildlife","54.301","-80.586"
"D063","Saskatchewan Eco Discovery Walk","25","nature","54.311","-80.577"
"D064","Saskatchewan Historic Quarter","10","historic","54.753","-103.122"
"D064","Saskatchewan Heritage Museum","20","museum","54.763","-103.112"
"D064","Saskatchewan Founders Walk","30","historic","54.773","-103.104"
"D065","Saskatchewan City Square","0","urban","47.52","-105.184"
"D065","Saskatchewan Waterfront Promenade","10","urban","47.53","-105.176"
"D065","Saskatchewan Downtown Hub","20","shopping","47.54","-105.167"
"D066","Saskatchewan Historic Quarter","5","historic","43.162","-85.351"
"D066","Saskatchewan Heritage Museum","15","museum","43.172","-85.342"
"D066","Saskatchewan Founders Walk","25","historic","43.182","-85.334"
"D067","Yukon Wildlife Sanctuary","10","wildlife","60.717","-62.498"
"D067","Yukon Animal Viewing Point","20","wildlife","60.727","-62.488"
"D067","Yukon Eco Discovery Walk","30","nature","60.737","-62.48"
"D068","Yukon City Square","0","urban","54.607","-53.136"
"D068","Yukon Waterfront Promenade","10","urban","54.617","-53.128"
"D068","Yukon Downtown Hub","20","shopping","54.627","-53.118"
"D069","Yukon Ridge Trail","5","hiking","60.825","-128.195"
"D069","Yukon Summit Walk","15","hiking","60.835","-128.186"
"D069","Yukon Forest Loop","25","hiking","60.845","-128.177"
"D070","Yukon City Square","10","urban","56.62","-122.096"
"D070","Yukon Waterfront Promenade","20","urban","56.63","-122.087"
"D070","Yukon Downtown Hub","30","shopping","56.64","-122.078"
"D071","Newfoundland Photo Point","0","scenic","44.739","-102.738"
"D071","Newfoundland Sunrise Deck","10","scenic","44.749","-102.729"
"D071","Newfoundland Panorama Platform","20","photography","44.759","-102.72"
"D072","Newfoundland Family Fun Park","5","family","46.055","-101.131"
"D072","Newfoundland Discovery Centre","15","family","46.065","-101.122"
"D072","Newfoundland Interactive Zone","25","family","46.075","-101.114"
"D073","Newfoundland Historic Quarter","10","historic","53.351","-66.569"
"D073","Newfoundland Heritage Museum","20","museum","53.361","-66.56"
"D073","Newfoundland Founders Walk","30","historic","53.371","-66.552"
"D074","Newfoundland Scenic Lookout","0","scenic","60.066","-69.954"
"D074","Newfoundland Nature Trail","10","nature","60.076","-69.946"
"D074","Newfoundland Valley Viewpoint","20","scenic","60.086","-69.937"
